index	arabish	class	words	tokens	pos	lem
0	sama7ni	arabizi	سماحني	سماح+ني	CV2S-CV+CVSUFF_DO:1S	سماح
1	.	arabizi	.	.	PUNC	punc
2	win	arabizi	وين	وين	INTERROG_PRON	وين
3	lm7atta	arabizi	المحطّة	ال+محطّة	DET+NOUN-NSUFF_FEM_SG	محطّة
4	?	arabizi	؟	؟	PUNC	punc
5	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6	ahla	arabizi	اهلا	اهلا	[NOUN-CASE_INDEF_ACC]INTERJ	أهلا
7	.	arabizi	.	.	PUNC	punc
8	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
9	ttsawor	arabizi	تتصوّر	تتصوّر	IV2S-IV	تصوّر
10	?	arabizi	؟	؟	PUNC	punc
11	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
12	tsafer	arabizi	تسافر	تسافر	IV2S-IV	سافر
13	barcha	arabizi	برشا	برشا	ADV	برشا
14	?	arabizi	؟	؟	PUNC	punc
15	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
16	ylzem	arabizi	يلزم	يلزم	IV3MS-IV	لزم
17	tkoun	arabizi	تكون	تكون	IV2S-IV	كان
18	mri7a	arabizi	مريحة	مريحة	ADJ-NSUFF_FEM_SG	مريح
19	barcha	arabizi	برشا	برشا	ADV	برشا
20	Bech	arabizi	باش	باش	FUT_PART	باش
21	T3ich	arabizi	تعيش	تعيش	IV2S-IV	عاش
22	fi	arabizi	في	في	PREP	في
23	h	arabizi	ها	ها	PRON_3FS	ها
24	elbit	arabizi	البيت	ال+بيت	DET+NOUN	بيت
25	,	arabizi	,	,	PUNC	punc
26	s7i7	arabizi	صحيح	صحيح	ADJ	صحيح
27	?	arabizi	؟	؟	PUNC	punc
28	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
29	el	arabizi	ال	ال	DET	ال
30	3achra	arabizi	عشرة	عشرة	NOUN_NUM	عشرة
31	ayem	arabizi	ايام	ايام	NOUN	يوم
32	.	arabizi	.	.	PUNC	punc
33	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
34	tis3a	arabizi	تسعة	تسعة	NOUN_NUM	تسعة
35	wtis3in	arabizi	وتسعين	و+تسعين	CONJ+NOUN_NUM	تسعين
36	doular	arabizi	دولار	دولار	NOUN	دولار
37	letefl	arabizi	لطفل	ل+طفل	PREP+NOUN	طفل
38	blila	arabizi	بليلة	ب+ليلة	PREP+NOUN-NSUFF_FEM_SG	بليلة
39	.	arabizi	.	.	PUNC	punc
40	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
41	el	arabizi	ال	ال	DET	ال
42	fatoura	arabizi	فاتورة	فاتورة	NOUN-NSUFF_FEM_SG	فاتورة
43	weslet	arabizi	وصلت	وصلت	PV-PVSUFF_SUBJ:3FS	وصل
44	miyet	arabizi	ميات	ميات	NOUN_NUM	مية
45	doular	arabizi	دولار	دولار	NOUN	دولار
46	.	arabizi	.	.	PUNC	punc
47	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
48	Kol	arabizi	كلّ	كلّ	NOUN_QUANT	كلّ
49	wehed	arabizi	واحد	واحد	[NOUN_NUM]PRON_3MS	واحد
50	Lazzem	arabizi	لازم	لازم	PART	لزم
51	y5ales	arabizi	يخلّص	يخلّص	IV3MS-IV	خلّص
52	machroubetou	arabizi	مشروباته	مشروبات+ه	NOUN-NSUFF_FEM_PL+POSS_PRON_3MS	مشروب
53	?	arabizi	؟	؟	PUNC	punc
54	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
55	behi	arabizi	باهي	باهي	ADV	باهي
56	.	arabizi	.	.	PUNC	punc
57	tawa	arabizi	توّا	توّا	ADV	توّا
58	tkadna	arabizi	تكدنا	تكدنا	PV-PVSUFF_SUBJ:1P	تكد
59	.	arabizi	.	.	PUNC	punc
60	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
61	ne5ed	arabizi	ناخذ	ناخذ	IV1S-IV	اخذ
62	r9am	arabizi	رقم	رقم	NOUN	رقم
63	tlifounek	arabizi	تليفونك	تليفون+ك	NOUN+POSS_PRON_2S	تليفون
64	,	arabizi	,	,	PUNC	punc
65	roubbama	arabizi	ربّما	ربّما	ADV	ربّما
66	n3awoudou	arabizi	نعاودوا	نعاودوا	IV1P-IV-IVSUFF_SUBJ:P	عاود
67	nakallmouk	arabizi	نكلّموك	نكلّموا+ك	IV1P-IV-IVSUFF_SUBJ:P+IVSUFF_DO:2S	كلّم
68	?	arabizi	؟	؟	PUNC	punc
69	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
70	en7ebou	arabizi	نحبّوا	نحبّوا	IV1P-IV-IVSUFF_SUBJ:P	حبّ
71	tawla	arabizi	طاولة	طاولة	NOUN-NSUFF_FEM_SG	طاولة
72	elbarra	arabizi	البرّا	ال+برّا	DET+NOUN	برّا
73	.	arabizi	.	.	PUNC	punc
74	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
75	ey	arabizi	اي	اي	INTERJ	اي
76	,	arabizi	,	,	PUNC	punc
77	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
78	ab3thou	arabizi	ابعثوا	ابعثوا	CV-CVSUFF_SUBJ:2P	بعث
79	lfoug	arabizi	لفوق	ل+فوق	PREP+ADV	فوق
80	libit	arabizi	البيت	ال+بيت	PREP+NOUN	بيت
81	thnach	arabizi	ثناش	ثناش	NOUN_NUM	ثناش
82	arb3a	arabizi	اربعة	اربعة	NOUN_NUM	اربعة
83	wel	arabizi	و	و	CONJ	و
84	thlethin	arabizi	تلاثين	ثلاثين	NOUN_NUM	ثلاثين
85	.	arabizi	.	.	PUNC	punc
86	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
87	mchit	arabizi	مشيت	مشيت	PV-PVSUFF_SUBJ:1S	مشى
88	lniwyork	arabizi	لنويورك	ل+نويورك	PREP+NOUN_PROP	نويورك
89	.	arabizi	.	.	PUNC	punc
90	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
91	aman	arabizi	امان	امان	INTERJ	امان
92	7otou	arabizi	حطّوا	حطّوا	CV-CVSUFF_SUBJ:2P	حطّ
93	fel	arabizi	فال	في+ال	PREP+DET	في
94	koun	arabizi	كون	كون	NOUN	كون
95	.	arabizi	.	.	PUNC	punc
96	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
97	5alina	arabizi	خلّينا	خلّى+نا	CV2S-CV+CVSUFF_DO:1P	خلّى
